Student_ID,Age,Gender,Region,Attendance,Exam_Marks,Income_Category,Distance_to_School,Digital_Access,Scholarship,Teacher_Student_Ratio,Previous_Dropout,Dropout_Risk
S323,14,Male,Rural,54.9,50.8,Medium,13.2,Yes,No,45.8,No,High
S324,18,Male,Urban,92.5,48.1,Medium,9.8,No,Yes,48.8,No,Medium
S325,15,Female,Rural,95.1,47.9,Low,12.6,Yes,Yes,26.5,No,Medium
S326,13,Male,Rural,98.8,73.0,High,7.7,No,No,22.6,No,Low
S327,12,Male,Rural,44.7,65.7,Low,8.3,No,Yes,25.8,No,High
S328,15,Male,Urban,91.1,79.4,Medium,2.6,Yes,Yes,44.6,No,Low
S329,15,Female,Rural,100.0,95.3,Medium,11.9,Yes,No,40.3,No,Medium
S330,12,Female,Urban,91.7,37.5,Medium,6.6,Yes,No,39.1,No,Medium
S331,13,Female,Rural,42.7,70.7,Low,7.8,No,No,32.1,No,Medium
S332,12,Female,Urban,100.0,48.2,High,11.9,Yes,No,37.3,No,Medium
S333,17,Female,Urban,75.6,76.8,Medium,9.2,No,No,29.2,No,Low
S334,15,Female,Urban,71.5,60.9,Medium,3.4,Yes,No,34.3,No,Low
S335,16,Female,Urban,81.8,65.4,Medium,9.1,Yes,Yes,43.8,No,Low
S336,16,Male,Rural,59.3,45.8,Medium,6.4,Yes,No,49.4,No,Medium
S337,14,Male,Urban,75.0,58.6,Low,7.3,No,No,48.0,No,High
S338,18,Male,Rural,99.3,66.3,Low,0.9,No,Yes,48.0,No,Low
S339,12,Male,Rural,84.3,85.3,High,3.5,No,Yes,32.1,No,Low
S340,12,Male,Rural,75.9,53.1,Low,4.6,No,No,34.1,No,Medium
S341,14,Male,Urban,76.3,56.7,Medium,10.8,No,Yes,41.2,No,Medium
S342,14,Male,Rural,57.3,79.2,High,0.7,Yes,Yes,47.7,No,Low
S343,14,Female,Urban,72.8,52.1,Low,6.4,Yes,No,24.3,No,High
S344,15,Female,Urban,50.5,82.1,Medium,13.9,Yes,No,29.1,No,Medium
S345,17,Male,Urban,90.3,64.9,Medium,2.1,No,Yes,24.2,No,Low
S346,12,Male,Urban,42.2,69.5,Medium,8.0,No,Yes,38.4,Yes,High
S347,15,Female,Urban,87.8,70.5,Low,11.9,Yes,Yes,29.2,No,Medium
S348,14,Male,Urban,89.7,55.8,Low,14.2,No,No,29.8,No,High
S349,12,Male,Urban,94.8,70.8,Medium,11.3,No,No,22.1,Yes,High
S350,15,Female,Urban,76.3,53.4,Medium,10.9,Yes,Yes,30.5,No,Medium
S351,17,Male,Urban,88.7,57.5,Medium,12.5,Yes,No,45.9,No,High
S352,15,Female,Urban,72.6,73.4,Medium,7.0,Yes,Yes,27.0,No,Low
S353,17,Male,Rural,57.2,69.4,Low,12.2,Yes,No,40.9,No,High
S354,14,Female,Rural,98.0,63.9,Medium,0.6,No,No,38.9,No,Low
S355,17,Female,Rural,73.5,46.1,Low,13.9,Yes,No,45.9,No,High
S356,12,Female,Rural,53.9,49.9,High,6.9,Yes,No,24.0,No,High
S357,14,Male,Urban,68.0,,Medium,8.5,No,Yes,49.3,No,Medium
S358,12,Female,Urban,68.6,76.0,Medium,4.2,No,No,37.5,No,Medium
S359,16,Male,Urban,81.9,48.4,High,11.3,No,No,49.9,No,Medium
S360,13,Male,Rural,100.0,52.4,Low,1.6,Yes,Yes,47.3,Yes,High
S361,17,Male,Urban,82.8,67.0,Medium,13.2,Yes,No,26.6,No,Low
S362,13,Male,Urban,78.1,66.7,Low,12.5,No,Yes,21.7,No,Medium
S363,13,Female,Urban,100.0,40.6,High,3.6,Yes,No,27.7,No,Low
S364,17,Female,Urban,89.7,67.4,Low,12.2,Yes,Yes,35.8,No,Medium
S365,14,Male,Urban,78.8,56.0,Medium,11.9,Yes,No,25.1,No,Medium
S366,16,Male,Rural,67.8,89.6,High,9.7,Yes,Yes,25.0,No,Low
S367,12,Female,Urban,79.7,68.7,Low,5.9,Yes,No,33.9,Yes,High
S368,15,Male,Rural,74.0,71.3,Low,4.4,Yes,No,21.0,No,Medium
S369,12,Female,Rural,76.4,71.7,Medium,3.9,Yes,No,23.7,No,Low
S370,15,Male,Urban,94.7,,Medium,5.1,Yes,Yes,32.5,No,Low
S371,12,Male,Rural,66.9,94.2,Low,13.6,Yes,No,21.9,No,High
S372,17,Female,Urban,82.7,40.7,Low,1.6,Yes,No,31.9,No,Medium
S373,16,Male,Rural,89.2,76.9,Low,12.5,No,Yes,34.2,No,Medium
S374,15,Female,Urban,65.1,74.3,High,5.6,Yes,Yes,33.5,No,Low
S375,18,Male,Rural,62.7,57.8,Medium,8.1,Yes,No,46.1,Yes,High
S376,14,Male,Urban,72.7,75.0,Low,12.0,Yes,No,35.9,No,High
S377,12,Male,Urban,68.1,60.2,Low,13.3,Yes,Yes,34.0,No,Medium
S378,12,Female,Rural,92.3,54.9,Low,5.5,Yes,Yes,32.3,No,Medium
S379,15,Male,Urban,60.0,72.0,Low,7.2,Yes,Yes,44.5,No,Medium
S380,14,Male,Urban,76.0,49.9,Medium,6.5,No,No,46.9,No,Medium
S381,14,Male,Rural,100.0,61.6,Low,0.7,Yes,No,45.6,No,Low
S382,17,Male,Rural,81.2,56.1,Low,4.8,Yes,No,40.2,No,Medium
S383,18,Female,Rural,83.7,60.0,Medium,7.2,No,No,24.1,No,Low
S384,17,Female,Rural,92.4,71.5,Low,6.5,Yes,No,28.3,No,Medium
S385,17,Male,Urban,68.1,56.1,Medium,11.0,Yes,Yes,21.4,No,Medium
S386,17,Female,Urban,58.8,62.1,Medium,6.1,Yes,Yes,47.9,No,Medium
S387,17,Male,Rural,77.6,57.5,Medium,7.6,No,Yes,39.8,No,Low
S388,17,Male,Rural,79.0,86.7,Medium,6.7,Yes,No,42.4,No,Low
S389,16,Male,Urban,50.7,70.1,Medium,11.2,Yes,No,29.3,No,High
S390,14,Female,Rural,80.6,68.3,High,13.0,Yes,Yes,45.4,No,Low
S391,17,Female,Rural,91.0,75.3,Medium,8.2,No,Yes,27.8,No,Low
S392,14,Female,Urban,61.3,56.1,Medium,11.9,Yes,No,20.0,No,High
S393,14,Female,Urban,81.5,77.9,Medium,4.8,No,No,31.3,No,Low
S394,13,Female,Urban,88.4,70.2,Medium,8.3,Yes,Yes,37.1,No,Low
S395,16,Female,Urban,83.8,41.6,Low,5.5,No,No,34.4,No,Medium
S396,17,Female,Rural,85.2,43.6,Low,6.5,No,No,45.9,Yes,High
S397,12,Female,Urban,71.3,56.4,Low,11.1,Yes,Yes,23.2,No,High
S398,15,Female,Rural,58.1,45.2,High,13.3,Yes,No,36.6,No,High
S399,18,Male,Rural,68.3,61.4,Medium,2.3,Yes,Yes,35.4,No,Low
S400,12,Female,Rural,66.2,49.8,High,9.7,Yes,No,28.4,No,Low
S401,16,Female,Rural,73.8,63.5,Medium,8.9,No,No,44.7,Yes,High
S402,15,Female,Urban,91.4,86.2,Medium,2.2,Yes,No,42.6,No,Low
S403,16,Female,Rural,55.3,64.3,Low,3.6,Yes,No,42.0,No,High
S404,14,Female,Rural,77.2,60.5,Medium,5.0,Yes,Yes,46.3,Yes,Medium
S405,15,Female,Rural,59.0,70.8,Medium,2.9,No,No,41.7,No,High
S406,14,Female,Rural,63.9,54.6,High,4.0,Yes,No,27.0,No,Medium
S407,12,Female,Urban,83.4,77.7,Low,4.4,Yes,No,41.2,No,Medium
S408,12,Female,Rural,,72.4,Medium,5.4,Yes,No,29.2,No,Medium
S409,15,Female,Urban,86.0,65.6,Medium,11.4,No,No,27.3,No,Medium
S410,15,Female,Rural,54.7,67.3,Medium,8.8,Yes,No,22.2,No,Medium
S411,17,Male,Urban,85.0,95.6,Medium,14.8,Yes,Yes,42.3,No,Low
S412,16,Male,Urban,51.8,79.1,Medium,6.5,Yes,No,41.3,No,Medium
S413,17,Female,Rural,65.7,98.0,Low,11.4,Yes,No,27.0,No,High
S414,16,Female,Urban,100.0,73.0,Medium,13.1,Yes,No,42.5,No,Medium
S415,17,Male,Rural,100.0,42.9,Medium,10.3,No,No,47.5,No,Medium
S416,14,Female,Rural,68.8,61.1,High,6.5,No,Yes,23.2,No,Low
S417,15,Male,Urban,80.8,39.5,Medium,11.4,Yes,Yes,27.0,No,Medium
S418,12,Male,Rural,93.1,72.9,Low,3.5,No,No,42.5,No,Medium
S419,16,Male,Rural,85.2,76.2,Low,5.2,Yes,No,28.2,No,Medium
S420,16,Male,Urban,70.9,51.7,High,8.4,No,Yes,38.7,No,Medium
S421,12,Male,Rural,63.8,55.2,Medium,8.8,No,No,22.4,No,High
S422,17,Female,Urban,88.0,67.2,High,0.8,Yes,Yes,33.6,No,Low
S423,16,Male,Rural,92.0,47.0,Low,14.2,No,No,42.2,No,High
S424,18,Female,Urban,100.0,45.9,Medium,10.6,Yes,No,40.6,No,Medium
S425,14,Female,Urban,49.7,83.6,Medium,7.7,Yes,Yes,44.5,No,Medium
S426,15,Male,Urban,56.2,66.7,High,14.0,Yes,Yes,46.3,No,Medium
S427,12,Male,Urban,92.4,56.6,Low,6.9,Yes,Yes,43.2,No,Medium
S428,15,Female,Rural,51.7,39.6,Medium,14.7,,No,40.1,No,High
S429,18,Male,Urban,93.6,77.8,Medium,7.9,No,Yes,21.0,Yes,Low
S430,16,Male,Rural,,54.7,Low,2.2,Yes,Yes,36.0,Yes,High
S431,16,Female,Rural,67.2,92.9,Medium,11.6,No,No,21.1,No,High
S432,18,Female,Rural,78.1,77.9,Medium,10.3,No,No,44.2,No,Medium
S433,12,Male,Rural,54.8,52.9,High,11.7,Yes,No,29.6,No,High
S434,14,Female,Rural,87.4,54.3,Medium,14.3,Yes,No,36.9,No,Medium
S435,13,Male,Urban,100.0,90.8,Low,11.8,Yes,Yes,28.4,Yes,High
S436,12,Male,Urban,88.1,63.7,Low,9.4,No,No,43.5,No,Medium
S437,13,Male,Urban,71.3,57.3,Medium,12.9,No,No,46.6,No,High
S438,18,Female,Rural,51.9,65.4,Low,10.3,Yes,No,32.0,No,High
S439,17,Female,Urban,52.5,57.2,Medium,6.4,No,Yes,45.9,No,High
S440,13,Female,Rural,55.1,68.6,Low,13.3,Yes,No,28.0,No,High
S441,14,Female,Rural,74.8,63.9,High,3.7,Yes,Yes,36.0,No,Low
S442,17,Female,Rural,76.7,78.1,High,10.9,Yes,No,45.8,No,Medium
S443,13,Male,Rural,88.0,59.2,Medium,13.3,Yes,Yes,29.8,No,Medium
S444,18,Male,Urban,48.1,51.7,High,11.1,Yes,Yes,48.6,No,High
S445,17,Male,Urban,94.7,59.8,Medium,10.6,Yes,Yes,23.7,No,Low
S446,18,Male,Rural,85.4,59.7,Medium,11.4,Yes,Yes,20.5,No,Medium
S447,13,Female,Rural,70.1,63.8,Low,7.2,Yes,No,47.1,No,Medium
S448,18,Male,Rural,57.2,74.5,Medium,13.2,Yes,Yes,22.1,Yes,High
S449,14,Female,Rural,93.7,73.7,Medium,3.4,No,No,49.8,Yes,Medium
S450,13,Male,Urban,70.5,83.0,High,2.3,Yes,Yes,48.5,No,Low
S451,13,Female,Rural,74.7,52.8,Medium,4.6,No,Yes,24.1,No,Medium
S452,13,Female,Rural,,70.8,High,8.2,Yes,No,36.1,Yes,Medium
S453,12,Male,Rural,61.3,75.9,Medium,7.9,Yes,Yes,25.5,No,Low
S454,12,Male,Urban,70.8,54.9,Low,12.4,No,No,32.8,No,High
S455,12,Male,Urban,88.0,61.9,High,6.4,Yes,No,21.8,Yes,Medium
S456,14,Male,Urban,86.5,38.8,Medium,7.5,Yes,Yes,26.7,No,Medium
S457,17,Female,Urban,86.6,78.6,Low,0.7,,Yes,30.9,No,Medium
S458,18,Male,Rural,57.7,61.8,Medium,6.4,Yes,Yes,33.2,No,Medium
S459,16,Male,Rural,71.5,77.1,Low,9.9,Yes,Yes,49.3,No,Low
S460,13,Female,Urban,69.1,68.1,Medium,0.7,Yes,Yes,44.2,No,Low
S461,18,Male,Urban,81.4,62.2,Medium,4.6,Yes,Yes,42.1,No,Low
S462,13,Male,Urban,80.0,41.1,Medium,3.5,Yes,Yes,36.1,No,Low
S463,14,Male,Urban,77.3,43.8,High,1.1,Yes,No,45.2,No,Low
S464,13,Male,Urban,100.0,26.1,Medium,7.4,No,No,30.2,No,Medium
S465,12,Male,Urban,70.6,56.6,Low,3.1,No,No,41.3,Yes,High
S466,16,Female,Urban,68.9,99.2,Medium,11.3,No,Yes,49.8,Yes,High
S467,15,Male,Urban,57.6,45.7,High,12.8,Yes,Yes,29.4,Yes,High
S468,13,Male,Urban,51.9,25.5,Low,8.4,No,No,40.2,No,High
S469,18,Male,Urban,56.7,79.4,Low,14.7,Yes,No,45.3,No,High
S470,12,Male,Rural,64.2,100.0,Low,7.0,No,No,47.5,No,High
S471,15,Male,Urban,94.7,69.5,Low,7.9,No,Yes,41.5,No,Medium
S472,16,Female,Rural,75.6,69.3,Medium,14.8,No,No,28.5,No,Medium
S473,15,Male,Urban,77.9,60.4,Medium,3.9,Yes,No,29.8,No,Low
S474,12,Female,Urban,73.6,38.1,Low,14.2,Yes,Yes,20.6,Yes,High
S475,17,Female,Urban,80.5,43.2,Medium,1.1,Yes,No,42.8,No,Low
S476,17,Male,Rural,96.0,60.2,Low,7.0,No,No,21.3,No,Medium
S477,15,Male,Rural,45.1,57.4,High,1.5,Yes,Yes,45.9,No,Medium
S478,14,Male,Rural,93.3,63.3,High,11.1,No,Yes,23.6,No,Medium
S479,18,Male,Urban,37.3,77.4,Low,9.3,Yes,No,25.2,No,Medium
S480,18,Female,Rural,75.4,56.3,High,10.7,Yes,No,34.3,No,Medium
S481,15,Male,Rural,100.0,77.7,Medium,5.9,Yes,Yes,42.1,No,Low
S482,13,Male,Rural,85.2,56.4,Low,5.9,Yes,Yes,24.2,No,Low
S483,13,Male,Urban,80.6,80.6,Low,1.2,Yes,Yes,33.2,No,Low
S484,18,Male,Urban,100.0,66.3,Medium,5.6,Yes,No,34.5,No,Low
S485,18,Male,Rural,64.5,58.5,Medium,14.0,No,Yes,26.4,Yes,High
S486,17,Male,Rural,81.5,66.0,High,6.0,Yes,No,23.5,No,Low
S487,14,Female,Rural,83.7,60.6,Medium,12.6,Yes,Yes,45.1,Yes,Medium
S488,12,Female,Urban,67.2,66.7,High,12.7,No,Yes,35.1,No,Medium
S489,13,Male,Urban,68.5,76.4,Medium,5.9,No,No,20.4,No,Medium
S490,18,Male,Rural,66.8,63.7,Medium,9.7,No,No,44.1,No,Medium
S491,17,Male,Urban,76.3,59.5,Medium,1.9,Yes,No,49.4,No,Low
S492,16,Female,Rural,83.2,48.1,Low,2.0,No,Yes,38.2,No,Medium
S493,17,Male,Urban,76.8,73.7,Medium,1.2,No,No,35.1,No,Low
S494,13,Female,Rural,85.6,70.2,Medium,8.9,Yes,Yes,46.4,No,Low
S495,13,Male,Rural,45.5,47.3,Low,6.7,Yes,No,48.6,No,High
S496,17,Male,Rural,71.7,77.5,Medium,8.4,Yes,Yes,42.6,No,Low
S497,12,Male,Urban,59.6,47.0,Low,8.1,Yes,No,33.4,No,Medium
S498,15,Male,Urban,79.5,80.4,Medium,5.6,No,No,37.8,No,Medium
S499,13,Female,Rural,79.3,75.3,Medium,10.3,Yes,Yes,41.0,No,Medium
S500,17,Female,Urban,73.3,71.3,Low,11.5,No,No,25.8,No,High
